H,10,160419,11,224655,27,UTS_SO70025875
D,2,1000,18,826,20,321,25,1229697046284,26,14571.100000,24,31122018
D,2,1000,18,826,20,321,25,2917100845053,26,14571.100001,24,31122018
D,2,1000,18,826,20,321,25,8686043583093,26,14571.100002,24,31122018
D,2,1000,18,826,20,321,25,6330173653994,26,14571.100003,24,31122018
D,2,1000,18,826,20,321,25,0087967265765,26,14571.100004,24,31122018
D,2,1000,18,826,20,321,25,5451226404613,26,14571.100005,24,31122018
D,2,1000,18,826,20,321,25,2097575194359,26,14571.100006,24,31122018
D,2,1000,18,826,20,321,25,4734583233252,26,14571.100007,24,31122018
D,2,1000,18,826,20,321,25,1082061417541,26,14571.100008,24,31122018
D,2,1000,18,826,20,321,25,2874961068888,26,14571.100009,24,31122018
T,28,10,29,10000
